Oracle,https://www.oracle.com/database/index.html,Widely used RDBMS,오라클 데이터베이스(Oracle Database 또는 Oracle RDBMS)는 미국 오라클(Oracle)사의 관계형 데이터베이스 관리 시스템의 이름이다. 현재 유닉스 환경에서 가장 널리 사용되는 RDBMS이다. 검색이나 업데이트용 언어로는 국제표준화기구의 표준 구조화 조회 언어와 PL/SQL을 지원한다.,12.2.0.1,
Mysql,https://www.mysql.com,Widely used open source RDBMS,"MySQL은 세계에서 가장 많이 쓰이는 오픈 소스의 관계형 데이터베이스 관리 시스템(RDBMS)이다. 다중 스레드, 다중 사용자 형식의 구조질의어 형식의 데이터베이스 관리 시스템으로서 MySQL AB가 관리 및 지원하고 있으며, Qt처럼 이중 라이선스가 적용된다. 하나의 옵션은 GPL이며, GPL 이외의 라이선스로 적용시키려는 경우 전통적인 지적재산권 라이선스의 적용을 받는다.",5.7.20,
SQL Server,https://www.microsoft.com/en-us/sql-server/,Microsofts relational DBMS,"마이크로소프트 SQL 서버는 마이크로소프트가 1989년 사이베이스를 기반으로 개발한 관계형 데이터베이스이다. SQL Server 2017에서는 SQL Server의 기능을 Linux, Linux 기반 Docker 컨테이너 및 Windows에서도 제공하여 SQL Server를 개발 언어, 데이터 형식, 온-프레미스 또는 클라우드, 운영 체제 등을 선택할 수 있는 플랫폼으로 만들기 위한 중요한 진전을 이루었다.같은 지원 방식은 자유 소프트웨어 재단이 프로젝트에 저작권을 적용하는 방법과 비슷한 JBoss의 모델과 유사하다. 그러나 기반코드가 개인의 소유자에게 저작권이 있고 커뮤니티에 의해 개발되는 아파치 프로젝트와는 다르다.",SQL Server 2017,
PostgreSQL,https://www.postgresql.org,Based on the object relational DBMS Postgres,"PostgreSQL은 객체-관계형 데이터베이스 관리 시스템(ORDBMS)의 일종이다. BSaD 허가권으로 배포되며 오픈소스 개발자 및 관련 회사들이 개발에 참여하고 있다. 다른 관계형 데이터베이스 시스템과 달리, 연산자, 복합 자료형, 집계 함수, 자료형 변환자, 확장 기능 등 다양한 데이터베이스 객체를 사용자가 임의로 만들 수 있는 기능을 SQL 차원에서 제공한다. 이런 특징은 단순한 자료 저장소로써의 기능을 넘어 마치 하나의 새로운 프로그래밍 언어처럼 개발자의 창의성에 따라 무한한 기능을 손쉽게 구현할 수 있도록 한다.",10.1,
MongoDB,https://www.mongodb.com,One of the most popular document stores,몽고DB는 크로스 플랫폼 도큐먼트 지향 데이터베이스 시스템이다. NoSQL 데이터베이스로 분류되는 몽고DB는 JSON과 같은 동적 스키마형 문서들을 선호함에 따라 전통적인 테이블 기반 관계형 데이터베이스 구조의 사용을 삼간다. 이로써 특정한 종류의 애플리케이션을 더 쉽고 더 빠르게 데이터 통합을 가능케 한다. 아페로 GPL과 아파치 라이선스를 결합하여 공개된 몽고DB는 자유-오픈 소스 소프트웨어이다.,3.6,
DB2,https://www.ibm.com/analytics/us/en/db2/trials/,Common in IBM host environments,IBM DB2는 IBM에서 1983년에 발표된 상업용 관계 데이터베이스 관리 시스템이다. MVS/XA와 MVS/370 운영체제에서 사용되며 SQL을 데이터 언어로 사용하여 다수의 사용자들이 여러 개의 관계 데이터베이스를 동시에 접근할 수 있는 대형 데이터베이스를 위한 시스템이다.,11.1,
Access,https://products.office.com/ko-kr/access,RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,마이크로소프트 액세스(Microsoft Access)는 마이크로소프트 오피스에 포함된 데이터베이스 프로그램이다. 1992년 11월 13일 액세스 1.0 버전으로 처음 개발되었으며 현재 최신 버전은 마이크로소프트 오피스 액세스 2016이다. 2003 버전까지는 .mdb 확장자를 기본으로 사용했으나 2007 버전부터는 .accdb를 사용하고 있다. 액세스는 대기업의 부서와 프로그래머를 포함하여 소형 비즈니스에서 사용된다. 프로그래머의 입장에서 액세스에서 볼 수 있는 이점들 가운데 하나는 SQL과 연동이 잘된다는 점이다. 또한 액세스는 마이크로소프트 인터넷 정보 서비스(IIS)와 액티브 서버 페이지(ASP) 위에서 기본 웹 기반의 응용 프로그램들을 위한 데이터베이스로 사용될 수 있다.,16.0.4229.1024,
Redis,https://redis.io,In-memory data structure store,"레디스(Redis)는 Remote Dictionary Server의 약자로서 ‘키-값’ 구조의 비관계형 데이터를 저장하고 관리하기 위한 NoSQL의 일종이다. 2009년 Salvatore Sanfilippo가 처음 개발했다. 2015년부터 Redis Labs가 지원하고 있다. 모든 데이터를 메모리로 불러와서 처리하는 메모리 기반 DBMS이다. BSD 라이선스를 따른다. DB-Engines.com의 월간 랭킹에 따르면, 레디스는 가장 인기 있는 키-값 저장소이다",4.0.5,
Cassandra,https://cassandra.apache.org,Wide-column store based on ideas of BigTable and DynamoDB,Apache Cassandra는 많은 상용 서버에서 대량의 데이터를 처리하도록 설계된 무료 오픈 소스 분산 NoSQL 데이터베이스 관리 시스템으로 단일 실패 지점이없는 고 가용성을 제공한다. Cassandra는 비동기 masterless 복제 기능을 사용하여 모든 클라이언트에 대해 대기 시간이 적은 작업을 허용하는 여러 데이터 센터로 구성된 클러스터를 강력하게 지원한다,3.11.1,
Elasticsearch,https://www.elastic.co,A modern search and analytics engine based on Apache Lucene,"일래스틱서치(Elasticsearch)는 루씬 기반의 검색 엔진이다. HTTP 웹 인터페이스와 스키마에서 자유로운 JSON 문서와 함께 분산 멀티테넌트 지원 전문 검색 엔진을 제공한다. 일래스틱서치는 자바로 개발되어 있으며 아파치 라이선스 조항에 의거하여 오픈 소스로 출시되어 있다. 공식 클라이언트들은 자바, 닷넷(C#), PHP, 파이썬, 그루비 등 수많은 언어로 이용이 가능하다. 일래스틱서치는 가장 대중적인 엔터프라이즈 검색 엔진으로 그 뒤를 루씬 기반의 Apache Solr가 잇는다. 일래스틱서치는 로그스태시(Logstash)라는 이름의 데이터 수집 및 로그 파싱 엔진, 그리고 키바나(Kibana)라는 이름의 분석 및 시각화 플랫폼과 함께 개발되어 있다. 이 3개의 제품들은 연동 솔루션으로 사용할 목적으로 설계되어 있으며 이를 일래스틱 스택(Elastic Stack, 과거 이름: ELK 스택)으로 부른다.",6.0,
SQLite,https://www.sqlite.org,Widely used in-process RDBMS,"SQLite는 MySQL나 PostgreSQL와 같은 데이터베이스 관리 시스템이지만, 서버가 아니라 응용 프로그램에 넣어 사용하는 비교적 가벼운 데이터베이스이다. 영어권에서는 '에스큐엘라이트(ˌɛskjuːɛlˈlaɪt)'또는 '시퀄라이트(ˈsiːkwəl.laɪt)'라고 읽는다. 일반적인 RDBMS에 비해 대규모 작업에는 적합하지 않지만, 중소 규모라면 속도에 손색이 없다. 또 API는 단순히 라이브러리를 호출하는 것만 있으며, 데이터를 저장하는 데 하나의 파일만을 사용하는 것이 특징이다. 버전 3.3.8에서는 풀텍스트 검색 기능을 가진 FTS1 모듈이 지원된다. 컬럼을 삭제하거나 변경하는 것 등이 제한된다.구글 안드로이드 운영 체제에 기본 탑재된 데이터베이스이기도 하다.",3.21.0,
Solr,http://lucene.apache.org/solr/,A widely used enterprise search engine based on Apache Lucene,"Solr는 Apache Lucene 프로젝트에서 Java로 작성된 오픈 소스 엔터프라이즈 검색 플랫폼이다. 주요 기능으로는 전체 텍스트 검색, 히트 하이라이트, 패싯 검색, 실시간 인덱싱, 동적 클러스터링, 데이터베이스 통합, NoSQL 기능 및 풍부한 문서(예 : Word, PDF) 처리 기능이 있다. 분산 검색 및 인덱스 복제를 제공하는 Solr은 확장 성과 내결함성을 위해 설계되었다. Solr은 엔터프라이즈 검색 및 분석 사용 사례에 널리 사용되며 적극적인 개발 커뮤니티와 정기적 인 릴리스가 있다. Solr은 독립형 전체 텍스트 검색 서버로 실행된다. Lucene Java 검색 라이브러리를 핵심 텍스트 인덱싱 및 검색에 사용하고 REST와 유사한 HTTP / XML 및 JSON API를 사용하므로 대부분의 인기있는 프로그래밍 언어에서 사용할 수 있다. Solr의 외부 구성을 사용하면 Java 코딩없이 다양한 유형의 응용 프로그램에 맞게 조정할 수 있으며 보다 고급 사용자 정의를 지원하는 플러그인 아키텍처가 있다. Apache Lucene과 Apache Solr은 두 개의 프로젝트가 2010 년에 병합 된 이후 동일한 Apache Software Foundation 개발 팀에 의해 제작되었다. Lucene / Solr 또는 Solr / Lucene과 같은 기술이나 제품을 언급하는 것이 일반적이다.",7.1.0,
SAP ASE,https://www.sap.com/products/sybase-ase.html,enterprise-class RDBMS,"사이베이스(Sybase)는 1984년 설립된 관계형 데이터베이스 관리 시스템 전문 기업 또는 그 제품이다. 사이베이스 회사는 2010년 5월 SAP에 인수되었다. 사이베이스 제품의 최신 버전은 Sybase ASE라고 불린다. ASE는 Adaptive Server Enterprise의 약자이다. 1989년 마이크로소프트가 개발한 SQL 서버 버전 1.0은 사이베이스를 기반으로 개발한 관계형 데이터베이스로서 그 구조가 사이베이스와 매우 유사하다. 그 이후에도 줄곧 마이크로소프트 SQL은 사이베이스와 유사한 구조를 유지했으나, 버전 6.0 이후 제품의 성능을 대폭 개선하면서 구조가 많이 달라지게 되었다",16,
HBase,https://hbase.apache.org,Wide-column store based on Apache Hadoop and on concepts of BigTable,"아파치 HBase(Apache HBase)는 하둡 플랫폼을 위한 공개 비관계형 분산 데이터 베이스이다. 구글의 빅테이블(BigTable)을 본보기로 삼았으며 자바로 쓰여졌다. 아파치 소프트웨어 재단의 아파치 하둡 프로젝트 일부로서 개발되었으며 하둡의 분산 파일 시스템인 HDFS위에서 동작을 한다. 대량의 흩어져 있는 데이터 저장을 위한 무정지 방법을 제공하는 구글의 빅테이블과 비슷한 기능을 한다. HBase는 압축, 인메모리 처리, 초기 빅테이블에 제시되어 있는 Bloom 필터 기능을 제공한다. HBase에 있는 테이블들은 하둡에서 동작하는 맵리듀스 작업을 위한 입출력을 제공하며 자바 API나 REST, Avro 또는 Thrift 게이트웨이를 통하여 접근할 수 있다.HBase는 기존의 SQL 데이터 베이스를 직접적으로 대체하지는 않지만 페이스북의 메시징 플랫폼과 같은 데이터를 많이 사용하는 웹사이트에서 사용된다",2.0.0,
