Javascript,https://www.javascript.com/,JavsScript,"자바스크립트(영어: JavaScript)는 객체 기반의 스크립트 프로그래밍 언어이다. 이 언어는 웹브라우저 내에서 주로 사용하며, 다른 응용 프로그램의 내장 객체에도 접근할 수 있는 기능을 가지고 있다. 또한 Node.js와 같은 런타임 환경과 같이 서버 사이드 네트워크 프로그래밍에도 사용되고 있다.",ECMAScript 2017
Ruby,http://ruby-doc.org/,Ruby,"루비(Ruby)는 마츠모토 유키히로(松本行弘)가 개발한 동적 객체 지향 스크립트 프로그래밍 언어이다. 루비는 순수 객체 지향 언어라, 정수나 문자열 등을 포함한 데이터 형식 등 모든 것이 객체이다. 기능에는 클래스 정의, 가비지 컬렉션, 강력한 정규 표현식 처리, 다중 스레드, 예외 처리, 반복, 클로저, Mixin, 연산자 오버로드 등이 있다. 구문은 ALGOL계를 계승하면서 가독성을 중시하고 있다.",02.4.2.
Python,https://www.python.org/,Python,"파이썬은 1991년 프로그래머인 Guido van Rossum이 발표한 프로그래밍 언어로, 플랫폼 독립적이며 인터프리터식, 객체지향적, 동적 타이핑 대화형 언어이다. 파이썬은 비영리의 파이썬 소프트웨어 재단이 관리하는 개방형, 공동체 기반 개발 모델을 가지고 있다. 라이브러리가 풍부하여 교육 기관, 연구 기관 및 산업계에서 활발하게 이용되고 있다.",03.6.3.
PHP,php.net,PHP,PHP는 프로그래밍 언어의 일종이다. 원래는 동적 웹 페이지를 만들기 위해 설계되었으며 이를 구현하기 위해 PHP로 작성된 코드를 HTML 소스 문서 안에 넣으면 PHP 처리 기능이 있는 웹 서버에서 해당 코드를 인식하여 작성자가 원하는 웹 페이지를 생성한다.,5.6.32
Java,https://java.com/en/,Java,"자바는 썬 마이크로시스템즈의 제임스 고슬링과 다른 연구원들이 개발한 객체 지향적 프로그래밍 언어이다. 현재 웹 애플리케이션 개발에 가장 많이 사용되는 언어이며, 모바일 기기용 소프트웨어 개발에도 널리 사용되고 있다. 자바로 개발된 프로그램은 CPU나 운영 체제 종류와 관계없이 JVM을 설치할 수 있는 시스템에서는 어디서나 실행할 수 있다.",Java SE 9.0.1
C,,C,C언어는 1972년 켄 톰슨과 데니스 리치가 유닉스 운영 체제에서 사용하기 위해 개발한 프로그래밍 언어이다. C언어는 절차 지향 언어로 운영 체제나 시스템 프로그램 개발 등 로우 레벨 프로그래밍에 주로 쓰인다. 모든 컴퓨터 시스템에서 사용할 수 있는 언어이기 때문에 시스템 프로그램 외에도 임베디드 프로그램이나 응용 프로그램 개발에 쓰이기도 한다.,
C pp,https://docs.microsoft.com/en-us/cpp/,C++,"C++는 AT&T 벨 연구소의 비야네 스트롭스트룹이 1983년 발표하여 발전한 프로그래밍 언어이다. C 언어 문법을 대부분 사용할 수 있으며, 객체지향성이 더해진 C 언어의 확장형이라고 생각할 수도 있다. 다중 상속, 템플릿, 연산자 오버로드, 예외처리 등의 특징을 지닌다.",
C sharp,https://docs.microsoft.com/en-us/dotnet/csharp/,C#,"C#은 마이크로소프트에서 개발한 객체 지향 프로그래밍 언어다. 처음엔 .NET 프레임 워크에서 쓰기 위해 만들었지만, 지금은 ECMA와 ISO 표준으로 인정되었다. C#의 문법은 C++이나 자바의 문법과 비슷하다. 크고 작은 호스트 시스템이/임베디드 시스템 어플리케이션 작성에 적합하다.",7.0
Swift,https://developer.apple.com/swift/,Swift,"스위프트는 애플의 iOS와 OS X를 위한 프로그래밍 언어이다. 클로저, 다중 리턴 타입, 네임스페이스, 제네릭스, 타입 유추 등 objective-C에는 없는 기능을 많이 포함하고 있다. C나 objective-C 코드와 섞어 프로그래밍하거나 스크립트 언어처럼 실시간으로 상호작용하며 프로그래밍할 수도 있다.",Swift 4
Kotlin,https://kotlinlang.org/,Kotlin,"Kotlin은 Java Virtual Machine에서 돌아가는 정적 타입 프로그래밍 언어다. 또한, Kotlin은 자바스크립트 소스 코드로 컴파일될 수 있다. Java 코드와 함께 쓰이기 위해 만들어졌으며 Kotlin의 Syntax는 Java Syntax와 대부분 호환된다. Kotlin은 주로 안드로이드 개발에 쓴다.",1.2
Scala,https://www.scala-lang.org/,Scala,"Scala는 객체 지향 프로그래밍 언어와 함수형 프로그래밍의 요소가 결합한 다중패러다임 프로그래밍 언어이다. 스칼라는 기존의 Java 언어가 너무 복잡하다는 단점을 극복하기 위해 2004년 Martin Odersky가 처음 개발하여 배포했다. 간결한 소스 코드를 사용하여 Java에서 구현할 수 있는 기능을 대부분 구현할 수 있다. Scala는 자바 가상 머신(JVM)에서 실행할 수 있고, Java 언어와 호환되어 대부분의 자바 API를 그대로 사용할 수 있다.",02.12.4.
