롤리캠@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Atlassian Confluence@@$^Atlassian JIRA@@$^Amazon AWS@@$^Fabric@@$^Firebase@@$^Google Drive@@$^Postman@@$^Mixpanel@@$^Flurry@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^android-gradle@@$^cocoapods@@$^npm@@$^Docker@@$^Fabric@@$^Android Studio@@$^Bitbucket@@$^Xcode@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Skype@@$^Slack@@$^Google Apps@@$^JIRA@@$^Facebook@@$^Confluence@@$^Trello@@$^Google Sheets@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^TensorFlow@@$^caffe@@$^OpenGL ES@@$^opengl-es-2.0@@$^Amazon VPC@@$^AWS Elastic Beanstalk@@$^Google App Engine@@$^nginx@@$^Google Compute Engine@@$^Amazon EC2@@$^Amazon Elastic Transcoder@@$^Amazon CloudFront@@$^Google Drive@@$^Cocoa Touch (iOS)@@$^Android SDK@@$^Bootstrap@@$^HAML@@$^Swift@@$^Objective-C@@$^JavaScript@@$^Node.js@@$^RactiveJS@@$^Backbone.js@@$^AngularJS@@$^Redis@@$^Amazon EBS@@$^Amazon S3@@$^SQLite@@$^Memcached@@$^MongoDB@@$^Amazon ElastiCache@@$^AWS Lambda@@$^Amazon SQS@@$^Amazon RDS@@$^Amazon RDS for PostgreSQL@@$^Amazon SimpleDB@@$^Amazon DynamoDB@@$^React@@$^jQuery UI
스마트 팩토리를 위한 머신러닝 기반의 머신비전 시스템@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Git@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Skype@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리
자비스 세무지원@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Optimizely@@$^Mandrill@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Git@@$^GitLab@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Atlassian JIRA@@$^JIRA@@$^Zendesk@@$^MailChimp@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^CodeIgniter@@$^Django@@$^Amazon AWS@@$^Python@@$^Objective-C@@$^JavaScript@@$^PHP
AppSolid@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Amazon AWS@@$^GitHub Pages@@$^Dropbox@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Docker@@$^Jenkins@@$^Git@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^MailChimp@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^C#@@$^C++@@$^reverse-engineering@@$^Linux@@$^Amazon AWS@@$^java-bytecode-asm@@$^Assembly@@$^Python@@$^Amazon S3@@$^Amazon EC2@@$^MySQL@@$^PHP@@$^nginx
Gaudio Works@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Xcode@@$^Git@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Skype@@$^Trello@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^JavaScript@@$^C#@@$^C++
알밤 출퇴근기록기@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Google Analytics@@$^Google Drive@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Mailgun@@$^Vim@@$^Sublime Text@@$^New Relic@@$^Android Studio@@$^Eclipse@@$^Xcode@@$^GitLab@@$^Git@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^GoogleApps@@$^Trello@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Amazon SNS@@$^Amazon RDS@@$^nginx@@$^Tomcat@@$^Django@@$^Python@@$^Redis@@$^JavaScript@@$^Bootstrap@@$^jQuery@@$^Swift@@$^Amazon S3@@$^Amazon EC2@@$^MySQL@@$^Java
프로토파이@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Dropbox@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Skype@@$^MailChimp@@$^JIRA@@$^Trello@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리
이미지 검색 API@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^InVision@@$^zeplin@@$^JIRA@@$^Confluence@@$^Slack@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^grafana@@$^Linux@@$^Vim@@$^CMake@@$^Git@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Facebook@@$^surveymonkey@@$^JIRA@@$^Google Apps@@$^Confluence@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^MySQL@@$^elk-stack@@$^InfluxDB@@$^MongoDB@@$^Flask@@$^Django@@$^RESTful-api@@$^JavaScript@@$^Redis@@$^React@@$^Amazon AWS@@$^TensorFlow@@$^torch7@@$^NoSQL@@$^Python@@$^C++@@$^PHP@@$^Apache HTTP Server
@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Bitbucket@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^JIRA@@$^Confluence@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Kotlin@@$^vue.js@@$^Git@@$^Swift@@$^iOS@@$^Android@@$^Javascript(ES6)@@$^flask-sqlalchemy@@$^Flask@@$^google-cloud-platform@@$^Java@@$^Python@@$^MySQL
스윙비@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Elasticsearch@@$^Amazon CloudFront@@$^KISSmetrics@@$^SendGrid@@$^GitHub Pages@@$^Dropbox@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Fabric@@$^Kibana@@$^RequireJS@@$^IntelliJ IDEA@@$^Vim@@$^webpack@@$^Firebase@@$^Jenkins@@$^Sentry@@$^New Relic@@$^Git@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^zeplin@@$^Sketch@@$^InVision@@$^Zendesk@@$^Confluence@@$^Skype@@$^MailChimp@@$^JIRA@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^CSS3@@$^HTML5@@$^Amazon S3@@$^CentOS@@$^AWS Elastic Beanstalk@@$^AWS Lambda@@$^react-native@@$^Backbone.js@@$^Less@@$^Amazon RDS@@$^React@@$^Redis@@$^Java@@$^Amazon EC2@@$^MySQL@@$^JavaScript@@$^nginx@@$^Bootstrap@@$^jQuery
다리아@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^SendGrid@@$^Google Analytics@@$^Google Drive@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Docker@@$^GitHub@@$^Git@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^JIRA@@$^Slack@@$^Google Apps@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Java@@$^TensorFlow@@$^Apache Spark@@$^Kafka@@$^nginx@@$^D3.js@@$^AngularJS@@$^MySQL@@$^theano@@$^scikit-learn@@$^torch7@@$^keras@@$^caffe@@$^Amazon EC2@@$^Python@@$^Django
